0,0,1,thoughts,0,10,12
0,1,0,thoughts,13,20,25
0,2,3,of,26,33,35
0,3,2,of,36,38,48
0,4,5,orbits,49,55,59
0,5,4,orbits,60,70,73
0,6,7,of,74,84,86
0,7,6,of,87,95,97
1,0,7,lines,0,8,12
1,7,0,lines,87,91,97
1,1,2,motions,13,15,25
1,2,1,motions,26,27,35
1,3,4,of,36,38,48
1,4,3,of,49,50,59
1,5,6,indefinite,60,61,73
1,6,5,indefinite,74,77,86
2,0,5,world,0,7,12
2,5,0,world,60,64,73
2,1,2,motions,13,15,25
2,2,1,motions,26,27,35
2,3,4,of,36,38,48
2,4,3,of,49,50,59
2,6,7,of,74,84,86
2,7,6,of,87,95,97
3,0,7,world,0,7,12
3,7,0,world,87,90,97
3,1,2,motions,13,15,25
3,2,1,motions,26,27,35
3,3,4,of,36,38,48
3,4,3,of,49,50,59
3,5,6,indefinite,60,61,73
3,6,5,indefinite,74,77,86
4,0,1,as,0,3,12
4,1,0,as,13,19,25
4,2,3,of,26,33,35
4,3,2,of,36,38,48
4,4,5,orbits,49,55,59
4,5,4,orbits,60,70,73
4,6,7,of,74,84,86
4,7,6,of,87,95,97
5,0,4,as,0,3,12
5,4,0,as,49,53,59
5,1,2,motions,13,15,25
5,2,1,motions,26,27,35
5,3,5,a,36,39,48
5,5,3,a,60,67,73
5,6,7,of,74,84,86
5,7,6,of,87,95,97
6,0,1,as,0,3,12
6,1,0,as,13,19,25
6,2,3,of,26,33,35
6,3,2,of,36,38,48
6,4,5,orbits,49,55,59
6,5,4,orbits,60,70,73
6,6,7,of,74,84,86
6,7,6,of,87,95,97
7,0,4,as,0,3,12
7,4,0,as,49,53,59
7,1,2,motions,13,15,25
7,2,1,motions,26,27,35
7,3,5,a,36,39,48
7,5,3,a,60,67,73
7,6,7,of,74,84,86
7,7,6,of,87,95,97
8,1,2,motions,13,15,25
8,2,1,motions,26,27,35
8,0,4,as,0,3,12
8,4,0,as,49,53,59
8,3,5,a,36,39,48
8,5,3,a,60,67,73
8,6,7,of,74,84,86
8,7,6,of,87,95,97
9,1,7,motions,13,15,25
9,7,1,motions,87,94,97
9,0,4,as,0,3,12
9,4,0,as,49,53,59
9,2,3,of,26,33,35
9,3,2,of,36,38,48
9,5,6,indefinite,60,61,73
9,6,5,indefinite,74,77,86
10,1,3,writing,13,24,25
10,3,1,writing,36,47,48
10,0,4,as,0,3,12
10,4,0,as,49,53,59
10,2,5,of,26,33,35
10,5,2,of,60,60,73
10,6,7,of,74,84,86
10,7,6,of,87,95,97
11,1,0,thoughts,13,20,25
11,0,1,thoughts,0,10,12
11,2,3,of,26,33,35
11,3,2,of,36,38,48
11,4,5,orbits,49,55,59
11,5,4,orbits,60,70,73
11,6,7,of,74,84,86
11,7,6,of,87,95,97
12,1,3,mind,13,23,25
12,3,1,mind,36,37,48
12,0,4,as,0,3,12
12,4,0,as,49,53,59
12,2,5,of,26,33,35
12,5,2,of,60,60,73
12,6,7,of,74,84,86
12,7,6,of,87,95,97
13,1,5,mind,13,23,25
13,5,1,mind,60,65,73
13,0,4,as,0,3,12
13,4,0,as,49,53,59
13,2,3,of,26,33,35
13,3,2,of,36,38,48
13,6,7,of,74,84,86
13,7,6,of,87,95,97
14,1,3,the,13,22,25
14,3,1,the,36,36,48
14,0,4,as,0,3,12
14,4,0,as,49,53,59
14,2,5,of,26,33,35
14,5,2,of,60,60,73
14,6,7,of,74,84,86
14,7,6,of,87,95,97
15,1,5,the,13,22,25
15,5,1,the,60,63,73
15,0,4,as,0,3,12
15,4,0,as,49,53,59
15,2,3,of,26,33,35
15,3,2,of,36,38,48
15,6,7,of,74,84,86
15,7,6,of,87,95,97
